"time","metric","placement","country","value"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1953295481564439","JP","12"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1882677455292909","JP","33"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2014397232120930","JP","2"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2047231265504193","JP","17"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218904638336854","JP","679"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2045441679016485","US","75"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2043790425848277","US","112"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1918233661737288","US","101"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2067723063455013","US","11176"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2004443029783017","US","439"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023695791191074","US","519"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2012035409023779","JP","22"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2126361627591156","JP","51941"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023695964524390","US","3"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2076569295903723","JP","18"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218905711670080","US","802473"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1946839192210068","US","246"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1961515464075774","US","8702"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1908827462677908","JP","201"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2047231265504193","US","400"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2076569425903710","JP","16"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2047828385444481","JP","108"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2041105369450116","US","79"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942689033049","US","38487"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1953295344897786","US","197"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023310387896281","US","229"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1957398987820755","US","2349"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2126361480924504","JP","549"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1957399171154070","JP","4"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2014397348787585","JP","9"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1961515560742431","JP","30"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942872366364","US","800701"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1949078695319451","US","26477"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2043790692514917","US","28"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023695791191074","JP","11"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1953295481564439","US","150"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218904781670173","US","33296"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2061844164042903","US","528"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1918233661737288","JP","5"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1926375544256433","US","1900"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1911605435733444","US","862"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1884998355060819","US","30"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2043790605848259","US","28"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2045441745683145","US","74"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1949078895319431","US","797"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2061844277376225","US","54"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1925773687649952","US","82"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1961515464075774","JP","1839"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942792366372","US","16441"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2045441679016485","JP","1"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942689033049","JP","3822"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2014397232120930","US","73"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2004443029783017","JP","13"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1946839192210068","JP","2"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218905711670080","JP","364"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1957398987820755","JP","71"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942872366364","JP","1265"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2109179755976010","US","1625"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1882677455292909","US","1200"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023310387896281","JP","11"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023311494562837","US","1"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2067723063455013","JP","1569"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942359033082","US","5956"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023695737857746","US","566"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218904488336869","US","3348"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1992117674348886","US","35"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1953295344897786","JP","21"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2047231298837523","US","2557"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1961515560742431","US","133"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1957399171154070","US","283"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1946839118876742","JP","1"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2041105189450134","US","90"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2076569425903710","US","398"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218904638336854","US","4822"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218904338336884","JP","271"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2077623415798311","JP","55"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2126361480924504","US","5088"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2012035409023779","US","332"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2077623579131628","JP","125"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023311454562841","US","1"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1927257130834941","JP","100"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2195184610708857","JP","1365"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2047828492111137","JP","717"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2047828385444481","US","1580"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2109179875975998","JP","15139"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1908827462677908","US","5488"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2014397348787585","US","168"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2012037125690274","JP","1"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1927257060834948","JP","108"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2126361627591156","US","417234"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1992120904348563","JP","1"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942962366355","JP","22051"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023310997896220","JP","6"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2076569295903723","US","526"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1993896037504383","JP","10"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1946839118876742","US","133"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1927257130834941","US","607"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2061844164042903","JP","23"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942962366355","US","8178"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2109179875975998","US","614530"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2077623415798311","US","1873"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218904338336884","US","1713"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2047231298837523","JP","69"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1992120904348563","US","60"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023695737857746","JP","13"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1911605435733444","JP","204"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942359033082","JP","1027"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1926375544256433","JP","10"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1992117674348886","JP","5"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2047828492111137","US","17826"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1925773687649952","JP","13"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2109179755976010","JP","59"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1927257060834948","US","1077"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2077623579131628","US","1866"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2195184610708857","US","16732"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2061844277376225","JP","11"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023311387896181","US","1"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2023310997896220","US","139"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2012037125690274","US","167"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218904781670173","JP","76096"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1949078695319451","JP","1171"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2218904488336869","JP","719"
"2018-04-01T07:00:00+0000","fb_ad_network_request","2211942792366372","JP","1011"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1993896037504383","US","410"
"2018-04-01T07:00:00+0000","fb_ad_network_request","1949078895319431","JP","7"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904488336869","JP","420"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904781670173","JP","13527"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2109179875975998","US","298175"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1918233661737288","US","36"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904638336854","JP","322"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2067723063455013","US","5555"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2126361627591156","JP","26133"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218905711670080","US","71368"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1961515464075774","US","1427"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1908827462677908","JP","25"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942689033049","US","7345"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2047828385444481","JP","6"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1953295344897786","US","22"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2126361480924504","JP","303"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942872366364","US","276306"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2061844164042903","US","77"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1953295481564439","US","2"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904781670173","US","4897"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1949078695319451","US","1692"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1911605435733444","US","134"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2061844277376225","US","32"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1949078895319431","US","12"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1925773687649952","US","10"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942792366372","US","3215"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2109179755976010","US","694"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218905711670080","JP","25"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942872366364","JP","391"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942689033049","JP","1945"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1961515464075774","JP","275"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2067723063455013","JP","627"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942359033082","US","2062"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904488336869","US","1311"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1953295344897786","JP","3"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1961515560742431","US","6"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2077623415798311","JP","11"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904338336884","JP","173"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904638336854","US","1410"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2126361480924504","US","2210"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2012035409023779","US","9"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2077623579131628","JP","28"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1927257130834941","JP","22"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2047828492111137","JP","391"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2047828385444481","US","170"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1908827462677908","US","697"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2109179875975998","JP","7427"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2195184610708857","JP","383"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2126361627591156","US","190754"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942962366355","JP","1632"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1927257060834948","JP","20"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1927257130834941","US","154"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1911605435733444","JP","27"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942962366355","US","541"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2077623415798311","US","440"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904338336884","US","996"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2061844164042903","JP","7"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942359033082","JP","592"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1927257060834948","US","227"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2047828492111137","US","7539"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2109179755976010","JP","27"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1925773687649952","JP","2"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2077623579131628","US","397"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2195184610708857","US","6010"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2061844277376225","JP","2"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1949078695319451","JP","219"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942792366372","JP","386"
